,name,pair,price,volume_dollar_24h,volume_coin_24h,depth_minus_2,depth_plus_2,other_info,Volume_perc,spread,Last_traded,Trust_score
0,Trader Joe,MIM/WAVAX Live Chart 0x130966628846bfd36ff31a822705796e8cb8c18d,$0.999909,"$64,013,527",66259761.173 MIM,"$3,574,599","$3,585,372",0.0119612467497551 0XB31F66AA3C1E785363F0875A1B74E27B85FD66C7,25.56%,0.6%,Recently,
1,Sushiswap (Arbitrum One),WETH/MIM 0x82af49447d8a07e3bd95bd0d56f35241523fbab1,$1.00,"$17,890,196",5836.910 WETH,"$1,983,918","$1,989,897",3038.87092365693 0XFEA7A6A0B346362BF88A9E4A88416B77A57D6C2A,7.14%,0.6%,Recently,
2,Spookyswap,WFTM/MIM Live Chart 0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,$1.01,"$19,013,641",8163287.057 WFTM,"$450,125","$451,482",2.23489247715462 0X82F0B8B456C1A451378467398982D4834B6829C1,7.59%,0.6%,Recently,
3,Bitfinex,BTC/MIM,$0.998872,"$26,290",0.633 BTC,"$8,992","$1,022,568",41585 MIM,0.01%,0.55%,Recently,
4,Trader Joe,MIM/USDC Live Chart 0x130966628846bfd36ff31a822705796e8cb8c18d,$1.00,"$3,285,075",3278609.006 MIM,"$275,546","$276,377",1.00055247135645 0XA7D7079B0FEAD91F3E65F86E8915CB59C1A4C664,1.31%,0.6%,Recently,
5,Uniswap (v3),MIM/USDC Info 0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,$1.01,"$7,551,335",7472645.860 MIM,"$204,948","$205,565",1.00020311214981 USDC,3.02%,0.6%,Recently,
6,SpiritSwap,WFTM/MIM Live Chart 0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,$1.01,"$8,845,035",3830551.027 WFTM,"$194,472","$195,059",2.23721873119974 0X82F0B8B456C1A451378467398982D4834B6829C1,3.53%,0.6%,Recently,
7,Pangolin,MIM/USDC Live Chart 0x130966628846bfd36ff31a822705796e8cb8c18d,$0.995726,"$263,039",265530.851 MIM,"$201,238","$201,845",0.998243352665198 0XA7D7079B0FEAD91F3E65F86E8915CB59C1A4C664,0.11%,0.6%,Recently,
8,Sushiswap,MIM/WETH Live Chart 0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,$0.993562,"$1,748,051",1795301.265 MIM,"$76,800","$77,031",0.0003276690091366 0XC02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,0.70%,0.6%,Recently,
9,Pangolin,MIM/WAVAX Live Chart 0x130966628846bfd36ff31a822705796e8cb8c18d,$1.00,"$710,616",732421.262 MIM,"$63,069","$63,259",0.0119672376114771 0XB31F66AA3C1E785363F0875A1B74E27B85FD66C7,0.28%,0.6%,Recently,
10,Solarbeam,MIM/MOVR Live Chart 0x0cae51e1032e8461f4806e26332c030e34de3adb,$1.02,"$472,968",482959.992 MIM,"$28,549","$28,635",0.006544631208044 0X98878B06940AE243284CA214F92BB71A2B032B8A,0.19%,0.6%,Recently,
11,KyberSwap (Fantom),USDC/MIM 0x04068da6c83afcfa0e13ba15a6696662335d5b75,$1.00,"$352,029",350468.989 USDC,"$10,063","$10,093",0.999275059125598 0X82F0B8B456C1A451378467398982D4834B6829C1,0.14%,0.6%,Recently,
